Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TBBAV,TBQAV,Ignore
2024-08-21 20:00:00,61156.03,61400.0,59724.87,60375.84,21241.20588,2024-08-22 19:59:59.999,1288544247.9560175,1718280.0,10269.33376,623042041.0781735,0.0
2024-08-22 20:00:00,60375.83,64955.0,60342.14,64037.24,38118.07089,2024-08-23 19:59:59.999,2375916932.7935486,2555682.0,20372.88336,1270318490.0257754,0.0
2024-08-23 20:00:00,64037.24,64494.5,63531.0,64157.01,15857.15616,2024-08-24 19:59:59.999,1015774255.1740764,1551856.0,7643.02686,489673236.6598002,0.0
2024-08-24 20:00:00,64157.02,65000.0,63773.27,64220.0,12305.47977,2024-08-25 19:59:59.999,789935122.9930242,1263065.0,6315.72233,405555580.8604438,0.0
2024-08-25 20:00:00,64219.99,64481.0,62800.0,62834.0,19470.05276,2024-08-26 19:59:59.999,1238341818.4320166,2152841.0,8995.67609,572188217.6295675,0.0
2024-08-26 20:00:00,62834.0,63212.0,58034.01,59415.0,35135.94178,2024-08-27 19:59:59.999,2158144642.992993,2995281.0,15873.1536,975361314.8776591,0.0
2024-08-27 20:00:00,59415.0,60234.98,57860.0,59034.9,36868.54275,2024-08-28 19:59:59.999,2183054412.974087,3664134.0,17135.91162,1014904733.0685129,0.0
2024-08-28 20:00:00,59034.9,61166.99,58713.09,59359.01,27020.90743,2024-08-29 19:59:59.999,1617931684.258576,2743900.0,13152.3859,787682410.3518869,0.0
2024-08-29 20:00:00,59359.0,59944.07,57701.1,59123.99,28519.32195,2024-08-30 19:59:59.999,1680918972.4658496,2845696.0,13783.34749,812769089.2849813,0.0
2024-08-30 20:00:00,59123.99,59462.38,58744.0,58973.99,8798.409,2024-08-31 19:59:59.999,519849184.8690446,895944.0,4195.93079,247955494.3591592,0.0
2024-08-31 20:00:00,58974.0,59076.59,57201.0,57301.86,20705.15741,2024-09-01 19:59:59.999,1202176847.3910584,2153180.0,9651.50531,560452387.8985474,0.0
2024-09-01 20:00:00,57301.77,59425.69,57128.0,59132.13,22895.01461,2024-09-02 19:59:59.999,1333092369.4465685,1966119.0,11295.25452,657496577.6304803,0.0
2024-09-02 20:00:00,59132.12,59809.65,57415.0,57487.73,22828.18447,2024-09-03 19:59:59.999,1335076815.8599248,2208758.0,10979.79204,642252673.1132113,0.0
2024-09-03 20:00:00,57487.74,58519.0,55606.0,57970.9,35560.82146,2024-09-04 19:59:59.999,2027630870.1796753,3177549.0,16861.75483,961923197.778253,0.0
2024-09-04 20:00:00,57970.9,58327.07,55643.65,56180.0,27806.91413,2024-09-05 19:59:59.999,1577770853.1007974,3368058.0,12955.8897,734996919.3590955,0.0
2024-09-05 20:00:00,56180.0,57008.0,52550.0,53962.97,54447.76826,2024-09-06 19:59:59.999,2988914918.924334,5287281.0,25325.18849,1390546230.881093,0.0
2024-09-06 20:00:00,53962.97,54850.0,53745.54,54160.86,16694.04774,2024-09-07 19:59:59.999,905693342.5898322,1920923.0,8023.90683,435381439.0095956,0.0
2024-09-07 20:00:00,54160.86,55318.0,53629.01,54869.95,16274.14779,2024-09-08 20:59:59.999,885743172.9184759,1796092.0,8031.76084,437221897.1104152,0.0
2024-09-08 21:00:00,54869.95,58088.0,54591.96,57042.0,32384.51737,2024-09-09 20:59:59.999,1809715390.0493293,3355912.0,16412.83148,917669512.2220293,0.0
2024-09-09 21:00:00,57042.01,58044.36,56386.4,57635.99,23626.78126,2024-09-10 20:59:59.999,1349365460.0900571,2843148.0,11690.37506,667774722.6993911,0.0
2024-09-10 21:00:00,57635.99,57981.71,55545.19,57338.0,33026.56757,2024-09-11 20:59:59.999,1875738697.3784153,4045103.0,15979.30786,907634258.5649891,0.0
2024-09-11 21:00:00,57338.0,58588.0,57324.0,58132.32,31074.40631,2024-09-12 20:59:59.999,1802848638.0757017,3706764.0,14783.00418,857572456.5100869,0.0
2024-09-12 21:00:00,58132.31,60625.0,57632.62,60498.0,29825.23333,2024-09-13 20:59:59.999,1760671733.5492997,3378012.0,15395.13731,909141733.9747654,0.0
2024-09-13 21:00:00,60497.99,60610.45,59400.0,59993.03,12137.90901,2024-09-14 20:59:59.999,728527024.3416963,1288784.0,5570.22098,334303099.7432136,0.0
2024-09-14 21:00:00,59993.02,60395.8,58691.05,59132.0,13757.92361,2024-09-15 20:59:59.999,822410872.3906956,1552950.0,6431.24697,384460724.5703967,0.0
2024-09-15 21:00:00,59132.0,59210.7,57493.3,58213.99,26477.5642,2024-09-16 20:59:59.999,1543273198.7027452,3145152.0,12859.7584,749563220.8060508,0.0
2024-09-16 21:00:00,58213.99,61320.0,57610.01,60313.99,33116.25878,2024-09-17 20:59:59.999,1983378424.775704,3918209.0,16390.65993,981860543.2735815,0.0
2024-09-17 21:00:00,60313.99,61786.24,59174.8,61759.99,36087.02469,2024-09-18 20:59:59.999,2174000496.820776,5167671.0,18429.59712,1110622778.7510853,0.0
2024-09-18 21:00:00,61759.98,63850.0,61555.0,62947.99,34332.52608,2024-09-19 20:59:59.999,2153175931.1738715,4438284.0,17609.62958,1104427424.5246968,0.0
2024-09-19 21:00:00,62948.0,64133.32,62350.0,63201.05,25466.37794,2024-09-20 20:59:59.999,1611195963.9908044,3969296.0,12411.32227,785440558.8125728,0.0
2024-09-20 21:00:00,63201.05,63559.9,62758.0,63348.96,8375.34608,2024-09-21 20:59:59.999,528657852.3183024,1283611.0,3877.73743,244802615.7845593,0.0
2024-09-21 21:00:00,63348.97,64000.0,62357.93,63578.76,14242.19892,2024-09-22 20:59:59.999,897477338.3735127,2145736.0,6923.17369,436456231.9537881,0.0
2024-09-22 21:00:00,63578.76,64745.88,62538.75,63339.99,24078.05287,2024-09-23 20:59:59.999,1531015038.3680267,3999187.0,12331.07643,784350440.7145653,0.0
2024-09-23 21:00:00,63339.99,64688.0,62700.0,64262.7,23185.04759,2024-09-24 20:59:59.999,1472720338.8562915,3870157.0,11522.89363,732118662.4171054,0.0
2024-09-24 21:00:00,64262.7,64817.99,62947.08,63152.01,17813.11168,2024-09-25 20:59:59.999,1135250828.2732148,3355531.0,8384.67983,534590429.2105493,0.0
2024-09-25 21:00:00,63152.01,65839.0,62670.0,65173.99,28373.30593,2024-09-26 20:59:59.999,1831204595.9448967,4361333.0,15041.9886,971176161.3870806,0.0
2024-09-26 21:00:00,65173.99,66498.0,64819.9,65769.95,22048.80487,2024-09-27 20:59:59.999,1448852210.3602211,3498529.0,11092.85716,729156061.3679231,0.0
2024-09-27 21:00:00,65769.95,66260.0,65422.23,65858.0,9127.23316,2024-09-28 20:59:59.999,600118483.1222521,1341703.0,4501.22534,296026669.8337066,0.0
2024-09-28 21:00:00,65858.0,66076.12,65432.0,65602.01,8337.74111,2024-09-29 20:59:59.999,547980013.7152303,1413449.0,4132.9378,271622295.3535291,0.0
2024-09-29 21:00:00,65602.01,65618.8,62856.3,63327.59,30011.08752,2024-09-30 20:59:59.999,1920250261.7442162,3978584.0,14451.93044,924324016.7358449,0.0
2024-09-30 21:00:00,63327.6,64130.63,60164.0,60805.78,43671.48108,2024-10-01 20:59:59.999,2723672081.8326254,5607069.0,20951.74486,1308603194.3310401,0.0
2024-10-01 21:00:00,60804.92,62390.31,60000.0,60649.28,31534.70118,2024-10-02 20:59:59.999,1928377637.836784,5313210.0,15719.32519,961468320.5154727,0.0
2024-10-02 21:00:00,60649.27,61477.19,59828.11,60752.71,26221.43472,2024-10-03 20:59:59.999,1590773866.8074434,5244004.0,12906.51464,783073701.7331173,0.0
2024-10-03 21:00:00,60752.72,62484.85,60459.9,62086.0,21294.65994,2024-10-04 20:59:59.999,1311145630.5020497,3798631.0,10689.34488,658151113.9351828,0.0
2024-10-04 21:00:00,62086.0,62370.56,61689.26,62058.0,7807.46141,2024-10-05 20:59:59.999,484588468.3419123,1183175.0,3690.55536,229107774.75427,0.0
2024-10-05 21:00:00,62058.01,62975.0,61798.97,62819.91,8906.86177,2024-10-06 20:59:59.999,555669634.4773514,1556553.0,4798.29924,299426562.8303448,0.0
2024-10-06 21:00:00,62819.91,64478.19,62128.0,62224.0,25966.1852,2024-10-07 20:59:59.999,1646315506.5791945,4809342.0,12760.73415,809108823.5126126,0.0
2024-10-07 21:00:00,62224.01,63200.0,61860.31,62160.49,19702.22371,2024-10-08 20:59:59.999,1230076253.818657,3798438.0,9614.36947,600357593.787378,0.0
2024-10-08 21:00:00,62160.5,62543.75,60301.0,60636.02,20011.15684,2024-10-09 20:59:59.999,1234778807.5932417,3668363.0,9454.70171,583725546.0309885,0.0
2024-10-09 21:00:00,60636.01,61321.68,58946.0,60326.39,23967.92481,2024-10-10 20:59:59.999,1445604381.9363792,3872577.0,10827.77272,653182369.9427671,0.0
2024-10-10 21:00:00,60326.4,63417.56,60087.64,62540.0,23641.35209,2024-10-11 20:59:59.999,1462219576.849865,3222180.0,12099.56755,748431117.9165705,0.0
2024-10-11 21:00:00,62539.99,63480.0,62487.23,63206.22,10911.30116,2024-10-12 20:59:59.999,686978508.9887543,1770837.0,5196.91695,327263147.4760401,0.0
2024-10-12 21:00:00,63206.23,63285.72,62050.0,62870.02,11909.21995,2024-10-13 20:59:59.999,746564374.2082387,2242529.0,5855.04617,367046338.9194209,0.0
2024-10-13 21:00:00,62870.02,66500.0,62457.81,66083.99,37669.95222,2024-10-14 20:59:59.999,2450094472.813545,4977577.0,19941.11906,1297062359.2474864,0.0
2024-10-14 21:00:00,66084.0,67950.0,64800.01,67074.14,43683.95423,2024-10-15 20:59:59.999,2894021862.319518,6245619.0,21820.682,1446378130.5659852,0.0
2024-10-15 21:00:00,67074.14,68424.0,66750.49,67620.01,29938.25544,2024-10-16 20:59:59.999,2024560410.1062675,5109685.0,15212.87402,1029210667.4758284,0.0
2024-10-16 21:00:00,67620.0,67939.4,66666.0,67421.78,25328.22861,2024-10-17 20:59:59.999,1702164439.5654595,3981960.0,12153.94712,816887407.4042379,0.0
2024-10-17 21:00:00,67421.78,69000.0,67192.36,68428.0,28725.635,2024-10-18 20:59:59.999,1959735899.8769643,4010969.0,14218.1785,970440964.2668117,0.0
2024-10-18 21:00:00,68427.99,68693.26,68010.0,68378.0,8193.66737,2024-10-19 20:59:59.999,559628628.9613105,1152428.0,4071.19627,278085065.5176925,0.0
2024-10-19 21:00:00,68377.99,69400.0,68100.0,69031.99,12442.47378,2024-10-20 20:59:59.999,854082429.8105861,1563795.0,6772.92574,465001555.930983,0.0
2024-10-20 21:00:00,69032.0,69519.52,66840.67,67377.5,31374.42184,2024-10-21 20:59:59.999,2130833593.5466976,3686777.0,13593.60828,923860758.4208844,0.0
2024-10-21 21:00:00,67377.5,67836.01,66571.42,67426.0,24598.96268,2024-10-22 20:59:59.999,1654285791.6605556,3669291.0,12400.51857,834160889.2398736,0.0
2024-10-22 21:00:00,67426.01,67472.83,65260.0,66668.65,25530.2407,2024-10-23 20:59:59.999,1695101430.9187467,3807365.0,11888.33995,789384635.110686,0.0
2024-10-23 21:00:00,66668.65,68850.0,66510.0,68198.28,22589.83877,2024-10-24 20:59:59.999,1526736320.912938,3797462.0,11502.58514,777936396.524746,0.0
2024-10-24 21:00:00,68198.27,68771.49,65596.29,66698.33,34479.71125,2024-10-25 20:59:59.999,2320667435.293254,5332593.0,16031.032,1079347459.1549635,0.0
2024-10-25 21:00:00,66698.32,67454.55,66439.9,67092.76,11842.9077,2024-10-26 20:59:59.999,792887047.147892,2373501.0,6069.18986,406369780.1532944,0.0
2024-10-26 21:00:00,67092.76,68332.05,66913.73,68021.7,8653.19592,2024-10-27 20:59:59.999,585006148.4704809,1771989.0,4417.7362,298699666.9984393,0.0
2024-10-27 21:00:00,68021.69,70270.0,67618.0,69962.21,29046.75459,2024-10-28 20:59:59.999,2005105729.8174448,4432446.0,15218.34976,1051606096.4298259,0.0
2024-10-28 21:00:00,69962.21,73620.12,69760.0,72736.42,50128.60594,2024-10-29 20:59:59.999,3602465986.8917575,5645430.0,26898.46516,1932608784.1630373,0.0
2024-10-29 21:00:00,72736.41,72961.0,71436.0,72344.74,26885.99056,2024-10-30 20:59:59.999,1941210537.2882867,4040734.0,13487.21433,973898183.7467278,0.0
2024-10-30 21:00:00,72344.75,72700.0,69685.76,70292.01,29352.10297,2024-10-31 20:59:59.999,2091144977.4946847,4525542.0,14205.13879,1012048241.8498938,0.0
2024-10-31 21:00:00,70292.01,71632.95,68820.14,69496.01,38301.86755,2024-11-01 20:59:59.999,2677358022.00497,4569271.0,18044.1622,1261663986.7596903,0.0
2024-11-01 21:00:00,69496.0,69914.37,69000.14,69374.74,10521.67243,2024-11-02 20:59:59.999,731232427.6311548,1603561.0,5227.50713,363370734.8158011,0.0
2024-11-02 21:00:00,69374.74,69391.0,67478.73,68775.99,24995.70243,2024-11-03 20:59:59.999,1709666206.4062023,3668029.0,12277.58177,839939073.1389577,0.0
2024-11-03 21:00:00,68775.99,69500.0,66835.0,67850.01,29800.39187,2024-11-04 20:59:59.999,2033902307.0027761,5377048.0,14927.24077,1019257547.5246849,0.0
2024-11-04 21:00:00,67850.01,70577.91,67476.63,69372.01,33355.06888,2024-11-05 20:59:59.999,2310418908.069922,4955644.0,17059.88663,1181816730.9237833,0.0
2024-11-05 21:00:00,69372.01,76400.0,69298.0,75571.99,104126.994787,2024-11-06 20:59:59.999,7702283270.258009,8434184.0,53243.884427,3938516657.2327332,0.0
2024-11-06 21:00:00,75571.99,76849.99,74416.0,75857.89,44869.422345,2024-11-07 20:59:59.999,3391796661.9719553,5207722.0,21805.460295,1648278335.300733,0.0
2024-11-07 21:00:00,75857.89,77199.99,75555.0,76509.78,36521.099583,2024-11-08 20:59:59.999,2784449097.5315185,4877489.0,17555.393633,1339019332.1967125,0.0
2024-11-08 21:00:00,76509.78,76900.0,75714.66,76677.46,16942.07915,2024-11-09 20:59:59.999,1294709001.60289,2585264.0,8032.79327,614028515.3001705,0.0
2024-11-09 21:00:00,76677.46,81500.0,76492.0,80370.01,61830.100435,2024-11-10 20:59:59.999,4905441473.900737,7128598.0,32751.012177,2597409399.234963,0.0
2024-11-10 21:00:00,80370.01,89530.54,80216.01,88647.99,82323.665776,2024-11-11 20:59:59.999,6944268709.942721,9348890.0,42837.295314,3613896167.371912,0.0
2024-11-11 21:00:00,88648.0,89940.0,85072.0,87952.01,97299.887911,2024-11-12 20:59:59.999,8540084566.279819,11499058.0,49589.333451,4353451682.829404,0.0
2024-11-12 21:00:00,87952.0,93265.64,86127.99,90375.2,86763.854127,2024-11-13 20:59:59.999,7790928962.043038,11962100.0,44342.329327,3983689817.4014444,0.0
2024-11-13 21:00:00,90375.21,91790.0,86668.21,87325.59,56729.51086,2024-11-14 20:59:59.999,5073860815.928665,9828858.0,27940.856,2499212755.773147,0.0
2024-11-14 21:00:00,87325.59,91850.0,87073.38,91032.07,47927.95068,2024-11-15 20:59:59.999,4276238971.1814294,8009111.0,24800.61087,2213154236.5096154,0.0
2024-11-15 21:00:00,91032.08,91779.66,90056.17,90586.92,22717.87689,2024-11-16 20:59:59.999,2067958511.9048474,4239455.0,11496.31366,1046686701.0029461,0.0
2024-11-16 21:00:00,90587.98,91449.99,88722.0,89855.99,23867.55609,2024-11-17 20:59:59.999,2153871724.810395,4930719.0,11852.78227,1070094820.6738938,0.0
2024-11-17 21:00:00,89855.98,92594.0,89376.9,90464.08,46545.03448,2024-11-18 20:59:59.999,4239909950.661894,7161125.0,23628.87098,2153158394.316311,0.0
2024-11-18 21:00:00,90464.07,91243.63,90357.0,91130.17,2510.83917,2024-11-19 20:59:59.999,228160063.7065656,390981.0,1354.43012,123071785.1043277,0.0
